TYPE_ETABLISSEMENT_ANNEE_SCOLAIRE;LIBELLE_ETABLISSEMENT;ADRESSE;ARRONDISSEMENT;CODE_INSEE NUMBER;ANNEE_SCOLAIRE;TYPE_ETABLISSEMENT;GEO_SHAPE;GEO_POINT_2D
MATERNELLES (année scolaire 2022/2023);OLIVIER METRA (32-34) POLY;32 RUE OLIVIER METRA;20ème Ardt;75120;;Polyvalent;"{""coordinates"": [2.3938520000480055, 48.873298373241624], ""type"": ""Point""}";48.873298373241624, 2.3938520000480055
MATERNELLES (année scolaire 2022/2023);CARPEAUX (5-7) MAT;5 RUE CARPEAUX;18ème Ardt;75118;2022-2023;Maternelle;"{""coordinates"": [2.3298061120526445, 48.89035961315118], ""type"": ""Point""}";48.89035961315118, 2.3298061120526445
MATERNELLES (année scolaire 2022/2023);ARNOLD NETTER (42) MAT;;12ème Ardt;75112;2022-2023;Maternelle;"{""coordinates"": [2.4056226019026874, 48.843690261386676], ""type"": ""Point""}";48.843690261386676, 2.4056226019026874
MATERNELLES (année scolaire 2022/2023);GENERAL LASALLE (5) MAT;5 RUE DU GENERAL LASALLE;19ème Ardt;75119;2022-2023;Maternelle;"{""coordinates"": [2.3803052832570044, 48.87401987662739], ""type"": ""Point""}";48.87401987662739, 2.3803052832570044
MATERNELLES (année scolaire 2022/2023);ANDRE BRECHET (21) MAT;21 RUE ANDRE BRECHET;17ème Ardt;75117;2022-2023;Maternelle;"{""coordinates"": [2.326847650504811, 48.89885885682679], ""type"": ""Point""}";48.89885885682679, 2.326847650504811
MATERNELLES (année scolaire 2022/2023);PAUL GERVAIS (2) MAT;2 RUE PAUL GERVAIS;13ème Ardt;75113;2022-2023;Maternelle;"{""coordinates"": [2.347516646194573, 48.83154352397799], ""type"": ""Point""}";48.83154352397799, 2.347516646194573
MATERNELLES (année scolaire 2022/2023);SEVERO (10) MAT;10 RUE SEVERO;14ème Ardt;75114;2022-2023;Maternelle;"{""coordinates"": [2.3237187336562335, 48.83239267710277], ""type"": ""Point""}";48.83239267710277, 2.3237187336562335
MATERNELLES (année scolaire 2022/2023);FELIX FAURE (56) MAT;56 AVENUE FELIX FAURE;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2866154944624646, 48.84069866655919], ""type"": ""Point""}";48.84069866655919, 2.2866154944624646
MATERNELLES (année scolaire 2022/2023);AMIRAL ROUSSIN (33) MAT;33 RUE DE L AMIRAL ROUSSIN;15ème Ardt;75115;2022-2023;Maternelle;"{""coordinates"": [2.2995103665150136, 48.84462369220469], ""type"": ""Point""}";48.84462369220469, 2.2995103665150136
MATERNELLES (année scolaire 2022/2023);FAUCONNIER (4) POLY;4 RUE DU FAUCONNIER;4ème Ardt;75104;;Polyvalent;"{""coordinates"": [2.3596540713546945, 48.8536421914855], ""type"": ""Point""}";48.8536421914855, 2.3596540713546945
