Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
COLLEGES (année scolaire 2022/2023);ANDRE MALRAUX;5 bis RUE SAINT-FERDINAND;17ème Ardt;75117;2022-2023;Collège;;;;;"{""coordinates"": [2.290514944291562, 48.87881043889032], ""type"": ""Point""}";48.87881043889032, 2.290514944291562
4890;MORILLONS (40) MAT;40 RUE DES MORILLONS;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.3014115504826536, 48.83227788053154], ""type"": ""Point""}";48.83227788053154, 2.3014115504826536
4890;SERGE PROKOFIEV (18) MAT;18 RUE SERGE PROKOFIEV;16ème Ardt;75116;2022-2023;MAT;;;;;"{""coordinates"": [2.2680199888586117, 48.85427581674809], ""type"": ""Point""}";48.85427581674809, 2.2680199888586117
COLLEGES (année scolaire 2022/2023);VICTOR DURUY;33 BOULEVARD DES INVALIDES;7ème Ardt;75107;2022-2023;Collège;;;;;"{""coordinates"": [2.3148479397647423, 48.85230001233898], ""type"": ""Point""}";48.85230001233898, 2.3148479397647423
4890;BARBANEGRE (8) MAT;8 RUE BARBANEGRE;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.3833256532117324, 48.892313622547164], ""type"": ""Point""}";48.892313622547164, 2.3833256532117324
4890;MARAICHERS (31) MAT;31 RUE DES MARAICHERS;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.407181998910859, 48.850975297793454], ""type"": ""Point""}";48.850975297793454, 2.407181998910859
4890;DEPARTEMENT (51) MAT;51 RUE DU DEPARTEMENT;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.361872957417844, 48.88647962509409], ""type"": ""Point""}";48.88647962509409, 2.361872957417844
4890;CROULEBARBE (11) MAT;11 RUE DE CROULEBARBE;13ème Ardt;75113;2022-2023;MAT;;;;;"{""coordinates"": [2.3523229157355527, 48.834109325760174], ""type"": ""Point""}";48.834109325760174, 2.3523229157355527
4892;JEANNE D ARC (33) ELEM A;33 PLACE JEANNE D'ARC;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.3674346036287446, 48.829783700856794], ""type"": ""Point""}";48.829783700856794, 2.3674346036287446
4892;GUADELOUPE (2) ELEM;2 RUE DE LA GUADELOUPE;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.362632090671074, 48.890753007443514], ""type"": ""Point""}";48.890753007443514, 2.362632090671074
4892;FRANCOISE DORLEAC  ELEM A;8 PLACE FRANCOISE DORLEAC;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.337452792317367, 48.8993899007631], ""type"": ""Point""}";48.8993899007631, 2.337452792317367
4890;GAMBETTA (29) MAT;29 AVENUE GAMBETTA;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.3918273371242567, 48.86409376538629], ""type"": ""Point""}";48.86409376538629, 2.3918273371242567
4892;TITON (14) ELEM;14 RUE TITON;11ème Ardt;75111;2022-2023;ELE;;;;;"{""coordinates"": [2.3865243847790976, 48.85149661585574], ""type"": ""Point""}";48.85149661585574, 2.3865243847790976
4892;PARMENTIER (109) ELEM;109 AVENUE PARMENTIER;11ème Ardt;75111;2022-2023;ELE;;;;;"{""coordinates"": [2.3726220771708006, 48.867615107544516], ""type"": ""Point""}";48.867615107544516, 2.3726220771708006
4890;SOURDIERE (27) MAT;27 RUE DE LA SOURDIERE;1er Ardt;75101;2022-2023;MAT;;;;;"{""coordinates"": [2.3327061465965726, 48.866700680531174], ""type"": ""Point""}";48.866700680531174, 2.3327061465965726
4890;LYONNAIS (22) MAT;22 RUE DES LYONNAIS;5ème Ardt;75105;2022-2023;MAT;;;;;"{""coordinates"": [2.346472507675337, 48.83851905714696], ""type"": ""Point""}";48.83851905714696, 2.346472507675337
4892;CHARLES HERMITE (4) ELEM;4 RUE CHARLES HERMITE;18ème Ardt;75118;2022-2023;ELE;;;;;"{""coordinates"": [2.3686660481548145, 48.89989353303013], ""type"": ""Point""}";48.89989353303013, 2.3686660481548145
4892;EBLE (14) ELEM;14 RUE EBLE;7ème Ardt;75107;2022-2023;ELE;;;;;"{""coordinates"": [2.3129223063567297, 48.84899535283046], ""type"": ""Point""}";48.84899535283046, 2.3129223063567297
COLLEGES (année scolaire 2022/2023);ROLAND DORGELES;63 RUE DE CLIGNANCOURT;18ème Ardt;75118;2022-2023;Collège;;;;;"{""coordinates"": [2.3478620292642036, 48.88824190894073], ""type"": ""Point""}";48.88824190894073, 2.3478620292642036
