Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2022/2023);SAIDA (20) ELEM;20 RUE SAIDA;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.293162588036355, 48.83174298046158], ""type"": ""Point""}";48.83174298046158, 2.293162588036355
ELEMENTAIRES (année scolaire 2022/2023);AUGUSTE PERRET (9) ELEM;9 RUE AUGUSTE PERRET;13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.359792237813677, 48.82483604940251], ""type"": ""Point""}";48.82483604940251, 2.359792237813677
ELEMENTAIRES (année scolaire 2022/2023);LOUVOIS (6) ELEM;6 RUE DE LOUVOIS;2ème Ardt;75102;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3374870250719155, 48.86827460244168], ""type"": ""Point""}";48.86827460244168, 2.3374870250719155
ELEMENTAIRES (année scolaire 2022/2023);FAUCONNIER (4) POLY;4 RUE DU FAUCONNIER;4ème Ardt;75104;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.359654071343642, 48.85364219238481], ""type"": ""Point""}";48.85364219238481, 2.359654071343642
ELEMENTAIRES (année scolaire 2022/2023);GENERAL JEAN-SIMON (31) POLY;31 BOULEVARD DU GENERAL JEAN SIMON;13ème Ardt;75113;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3835692779153312, 48.826154926567035], ""type"": ""Point""}";48.826154926567035, 2.3835692779153312
ELEMENTAIRES (année scolaire 2022/2023);COLETTE MAGNY (15) ELEM;15 RUE COLETTE MAGNY;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.374620279812698, 48.89490828414763], ""type"": ""Point""}";48.89490828414763, 2.374620279812698
ELEMENTAIRES (année scolaire 2022/2023);JOMARD (9) ELEM;9 RUE JOMARD;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.37958145628075, 48.88971237770382], ""type"": ""Point""}";48.88971237770382, 2.37958145628075
ELEMENTAIRES (année scolaire 2022/2023);ALAIN-FOURNIER ( 5) ELEM;5 SQUARE ALAIN-FOURNIER;14ème Ardt;75114;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.307674934788748, 48.828324298488255], ""type"": ""Point""}";48.828324298488255, 2.307674934788748
ELEMENTAIRES (année scolaire 2022/2023);BIGNON (4) ELEM;4 RUE BIGNON;12ème Ardt;75112;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3885157740248113, 48.84043115837375], ""type"": ""Point""}";48.84043115837375, 2.3885157740248113
ELEMENTAIRES (année scolaire 2022/2023);CHAMPIONNET (69) ELEM;69 RUE CHAMPIONNET;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3451482912275083, 48.89575027758258], ""type"": ""Point""}";48.89575027758258, 2.3451482912275083
ELEMENTAIRES (année scolaire 2022/2023);MARYSE HILSZ (20) ELEM;20 RUE MARYSE HILSZ;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.4128899141500915, 48.850756462767364], ""type"": ""Point""}";48.850756462767364, 2.4128899141500915
ELEMENTAIRES (année scolaire 2022/2023);PLAINE (9) ELEM B;9 RUE DE LA PLAINE;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.399914835474164, 48.849964001623064], ""type"": ""Point""}";48.849964001623064, 2.399914835474164
ELEMENTAIRES (année scolaire 2022/2023);PRISSE D'AVENNES (5) ELEM;5 RUE PRISSE D'AVENNES;14ème Ardt;75114;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.328290185878548, 48.82511885826271], ""type"": ""Point""}";48.82511885826271, 2.328290185878548
ELEMENTAIRES (année scolaire 2022/2023);LONGCHAMP (130) ELEM;130 RUE DE LONGCHAMP;16ème Ardt;75116;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2782542113508386, 48.86727564812386], ""type"": ""Point""}";48.86727564812386, 2.2782542113508386
ELEMENTAIRES (année scolaire 2022/2023);REIMS (38-40) POLY;38 BOULEVARD DE REIMS;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.295450619155225, 48.88828196110204], ""type"": ""Point""}";48.88828196110204, 2.295450619155225
ELEMENTAIRES (année scolaire 2022/2023);EUGENE VARLIN (10) ELEM;10 RUE EUGENE VARLIN;10ème Ardt;75110;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3647740287957335, 48.87833744574122], ""type"": ""Point""}";48.87833744574122, 2.3647740287957335
ELEMENTAIRES (année scolaire 2022/2023);44 ENFANTS D'IZIEU (2) POLY;2 PLACE DES 44 ENFANTS D'IZIEU;13ème Ardt;75113;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3562566111428294, 48.82163734442746], ""type"": ""Point""}";48.82163734442746, 2.3562566111428294
ELEMENTAIRES (année scolaire 2022/2023);LEGENDRE (49) ELEM;49 RUE LEGENDRE;17ème Ardt;75117;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3159676579232036, 48.88525363944682], ""type"": ""Point""}";48.88525363944682, 2.3159676579232036
ELEMENTAIRES (année scolaire 2022/2023);FRANCOISE DORLEAC  ELEM A;8 PLACE FRANCOISE DORLEAC;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.337452792317367, 48.8993899007631], ""type"": ""Point""}";48.8993899007631, 2.337452792317367
ELEMENTAIRES (année scolaire 2022/2023);LE VAU (10) POLY;10 RUE LE VAU;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.4113117143747926, 48.86659751849793], ""type"": ""Point""}";48.86659751849793, 2.4113117143747926
ELEMENTAIRES (année scolaire 2022/2023);CONVENTION (78) POLY;78 RUE DE LA CONVENTION;15ème Ardt;75115;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.2847863656369185, 48.84239912308548], ""type"": ""Point""}";48.84239912308548, 2.2847863656369185
ELEMENTAIRES (année scolaire 2022/2023);FRANCOIS COPPEE (14) ELEM;14 RUE FRANCOIS COPPEE;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.287841502930166, 48.83987528329247], ""type"": ""Point""}";48.83987528329247, 2.287841502930166
